Order_Line,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Product_ID,Sales,Quantity,Discount,Profit,Payment_Mode
1,OF-2019-103800,6/26/2019,6/30/2019,Standard Class,DP-13000,OFF-PA-10000174,16.448,2,0.2,5.5512,COD
2,OF-2019-112326,6/27/2019,7/1/2019,Standard Class,PO-19195,OFF-LA-10003223,11.784,3,0.2,4.2717,COD
3,OF-2019-112326,6/27/2019,7/1/2019,Standard Class,PO-19195,OFF-ST-10002743,272.736,3,0.2,-64.7748,COD
4,OF-2019-112326,6/27/2019,7/1/2019,Standard Class,PO-19195,OFF-BI-10004094,3.54,2,0.8,-5.487,Offline
5,OF-2019-141817,6/28/2019,7/5/2019,Standard Class,MB-18085,OFF-AR-10003478,19.536,3,0.2,4.884,Offline
6,OF-2019-130813,6/29/2019,7/1/2019,Second Class,LS-17230,OFF-PA-10002005,19.44,3,0,9.3312,COD
7,OF-2019-106054,6/29/2019,6/30/2019,First Class,JO-15145,OFF-AR-10002399,12.78,3,0,5.2398,COD
8,OF-2019-167199,6/29/2019,7/3/2019,Standard Class,ME-17320,FUR-CH-10004063,2573.82,9,0,746.4078,COD
9,OF-2019-167199,6/29/2019,7/3/2019,Standard Class,ME-17320,OFF-BI-10004632,609.98,2,0,274.491,COD
10,OF-2019-167199,6/29/2019,7/3/2019,Standard Class,ME-17320,OFF-AR-10001662,5.48,2,0,1.4796,Offline
11,OF-2019-167199,6/29/2019,7/3/2019,Standard Class,ME-17320,TEC-PH-10004977,391.98,2,0,113.6742,Offline
12,OF-2019-167199,6/29/2019,7/3/2019,Standard Class,ME-17320,TEC-PH-10004539,755.96,4,0,204.1092,Offline
13,OF-2019-167199,6/29/2019,7/3/2019,Standard Class,ME-17320,OFF-FA-10001883,31.12,4,0,0.3112,Offline
14,OF-2019-167199,6/29/2019,7/3/2019,Standard Class,ME-17320,OFF-PA-10000955,6.54,1,0,3.0084,COD
15,OF-2019-105417,6/30/2019,7/5/2019,Standard Class,VS-21820,FUR-FU-10004864,76.728,3,0.6,-53.7096,COD
16,OF-2019-105417,6/30/2019,7/5/2019,Standard Class,VS-21820,OFF-BI-10003708,10.43,7,0.8,-18.2525,COD
17,OF-2019-135405,7/2/2019,7/6/2019,Standard Class,MS-17830,OFF-AR-10004078,9.344,2,0.2,1.168,Offline
18,OF-2019-135405,7/2/2019,7/6/2019,Standard Class,MS-17830,TEC-AC-10001266,31.2,3,0.2,9.75,COD
19,OF-2019-149020,7/3/2019,7/8/2019,Standard Class,AJ-10780,OFF-LA-10004272,2.89,1,0,1.3583,Online
20,OF-2019-149020,7/3/2019,7/8/2019,Standard Class,AJ-10780,FUR-FU-10000965,51.94,1,0,21.2954,Offline
21,OF-2019-130092,7/4/2019,7/7/2019,First Class,SV-20365,FUR-FU-10000010,9.94,2,0,3.0814,COD
22,OF-2019-162775,7/6/2019,7/8/2019,Second Class,CS-12250,OFF-EN-10001990,11.36,2,0,5.3392,COD
23,OF-2019-162775,7/6/2019,7/8/2019,Second Class,CS-12250,OFF-EN-10001532,50.94,3,0,25.47,COD
24,OF-2019-162775,7/6/2019,7/8/2019,Second Class,CS-12250,TEC-AC-10003174,646.74,6,0,258.696,COD
25,OF-2019-162775,7/6/2019,7/8/2019,Second Class,CS-12250,OFF-BI-10004187,5.64,3,0,2.7072,COD
26,OF-2019-162775,7/6/2019,7/8/2019,Second Class,CS-12250,OFF-ST-10000025,572.58,6,0,34.3548,COD
27,OF-2019-109232,7/6/2019,7/9/2019,Second Class,ND-18370,FUR-CH-10000422,545.94,6,0,87.3504,Offline
28,OF-2019-157147,7/6/2019,7/11/2019,Standard Class,BD-11605,OFF-ST-10000078,1325.85,5,0,238.653,COD
29,OF-2019-157147,7/6/2019,7/11/2019,Standard Class,BD-11605,FUR-BO-10003034,333.999,3,0.15,3.9294,COD
30,OF-2019-157147,7/6/2019,7/11/2019,Standard Class,BD-11605,OFF-AR-10003514,19.9,5,0,6.567,Offline
31,OF-2019-118192,7/6/2019,7/11/2019,Standard Class,MM-17920,OFF-PA-10002947,37.408,7,0.2,13.0928,COD
32,OF-2019-118192,7/6/2019,7/11/2019,Standard Class,MM-17920,OFF-BI-10003476,3.438,2,0.7,-2.5212,Offline
33,OF-2019-149524,7/7/2019,7/8/2019,First Class,BS-11590,FUR-BO-10003433,61.96,4,0.5,-53.2856,COD
34,OF-2019-103366,7/8/2019,7/10/2019,First Class,EH-13990,TEC-AC-10003628,149.95,5,0,65.978,Offline
35,OF-2019-115791,7/9/2019,7/11/2019,Second Class,DL-13315,FUR-FU-10001095,127.104,6,0.2,28.5984,Offline
36,OF-2019-115791,7/9/2019,7/11/2019,Second Class,DL-13315,TEC-PH-10004614,124.2,3,0.4,-31.05,COD
37,OF-2019-115791,7/9/2019,7/11/2019,Second Class,DL-13315,OFF-BI-10001575,18.588,2,0.7,-13.6312,Offline
38,OF-2019-115791,7/9/2019,7/11/2019,Second Class,DL-13315,OFF-LA-10001074,30.072,3,0.2,10.1493,Online
39,OF-2019-123477,7/11/2019,7/14/2019,Second Class,DW-13195,OFF-AP-10000692,64.864,4,0.2,6.4864,COD
40,OF-2019-146591,7/12/2019,7/13/2019,First Class,TS-21340,OFF-BI-10003676,32.34,10,0.7,-23.716,Offline
41,OF-2019-146591,7/12/2019,7/13/2019,First Class,TS-21340,OFF-PA-10000659,56.064,4,0.2,19.6224,COD
42,OF-2019-146591,7/12/2019,7/13/2019,First Class,TS-21340,OFF-EN-10002504,108.72,5,0.2,36.693,COD
43,OF-2019-146591,7/12/2019,7/13/2019,First Class,TS-21340,FUR-BO-10001972,181.47,5,0.7,-320.597,COD
44,ON-2019-147627,7/13/2019,7/19/2019,Standard Class,HL-15040,TEC-PH-10001061,699.93,7,0,181.9818,COD
45,ON-2019-147627,7/13/2019,7/19/2019,Standard Class,HL-15040,OFF-AR-10002375,22.96,7,0,6.6584,Offline
46,ON-2019-147627,7/13/2019,7/19/2019,Standard Class,HL-15040,FUR-FU-10003194,38.6,4,0,11.58,COD
47,ON-2019-147627,7/13/2019,7/19/2019,Standard Class,HL-15040,OFF-AR-10003811,6.63,3,0,1.7901,Offline
48,ON-2019-147627,7/13/2019,7/19/2019,Standard Class,HL-15040,OFF-EN-10001539,23.34,3,0,10.9698,COD
49,ON-2019-147627,7/13/2019,7/19/2019,Standard Class,HL-15040,FUR-CH-10002331,1067.94,3,0,224.2674,Offline
50,OF-2019-148614,7/13/2019,7/18/2019,Standard Class,MV-17485,OFF-PA-10002893,19.36,2,0,9.2928,COD
51,OF-2019-148614,7/13/2019,7/18/2019,Standard Class,MV-17485,FUR-FU-10003194,19.3,2,0,5.79,Offline
52,OF-2019-167927,7/13/2019,7/19/2019,Standard Class,XP-21865,OFF-ST-10000760,13.98,1,0,4.0542,Offline
53,OF-2019-167927,7/13/2019,7/19/2019,Standard Class,XP-21865,FUR-FU-10002918,272.94,3,0,30.0234,Offline
54,OF-2019-167927,7/13/2019,7/19/2019,Standard Class,XP-21865,OFF-BI-10000605,19.05,5,0,8.9535,COD
55,OF-2019-167927,7/13/2019,7/19/2019,Standard Class,XP-21865,OFF-AP-10002311,247.716,4,0.1,93.5816,COD
56,OF-2019-167927,7/13/2019,7/19/2019,Standard Class,XP-21865,OFF-ST-10003123,66.58,2,0,15.9792,COD
57,OF-2019-167927,7/13/2019,7/19/2019,Standard Class,XP-21865,OFF-AR-10004456,43.92,3,0,12.7368,Offline
58,OF-2019-167927,7/13/2019,7/19/2019,Standard Class,XP-21865,FUR-FU-10002268,14.73,3,0,4.8609,Offline
59,OF-2019-167927,7/13/2019,7/19/2019,Standard Class,XP-21865,OFF-BI-10004364,29.7,5,0,13.365,COD
60,ON-2019-147774,7/13/2019,7/19/2019,Standard Class,MM-18280,OFF-BI-10003091,67.194,1,0.7,-51.5154,COD
61,OF-2019-110422,7/14/2019,7/16/2019,Second Class,TB-21400,FUR-FU-10001889,25.248,3,0.2,4.1028,Offline
